MAIN-FILE-ID,HULFT-ID,SEND-CLASS,SEND-DETAIL-FILE,PLANTCD,CODE-CONVERT,IN-REC-TYPE,IN-REC-LENGTH,OUT-REC-TYPE,OUT-REC-LENGTH,NEW-LINE-TYPE,SHIFTTRANSACT,SSFDEL,CMDERRMD,RETRY,INTERVAL,ZERO-CHK
HS0593,N8R5EE04,HULFT,/CDTHULFT.EE.FTPLIB13/H1R5EE04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0594,N8R5EE05,HULFT,/CDTHULFT.EE.FTPLIB14/H1R5EE05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0595,N8R5EE06,HULFT,/CDTHULFT.EE.FTPLIB15/H1R5EE06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0596,N8R5EE07,HULFT,/CDTHULFT.EE.FTPLIB16/H1R5EE07,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0597,N8R5EP01,HULFT,/CDTHULFT.EP.FTPLIB04/H1R5EP01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0598,N8R5EP02,HULFT,/CDTHULFT.EP.FTPLIB05/H1R5EP02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0599,N8R5EP03,HULFT,/CDTHULFT.EP.FTPLIB06/H1R5EP03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0600,N8R5EP04,HULFT,/CDTHULFT.EP.FTPLIB07/H1R5EP04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0601,N8R5EP05,HULFT,/CDTHULFT.EP.FTPLIB08/H1R5EP05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0602,N8R5EP06,HULFT,/CDTHULFT.EP.FTPLIB09/H1R5EP06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0603,N8R5EP07,HULFT,/CDTHULFT.EP.FTPLIB10/H1R5EP07,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0604,N8R5EP08,HULFT,/CDTHULFT.EP.FTPLIB11/H1R5EP08,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0605,N8R5EP09,HULFT,/CDTHULFT.EP.FTPLIB12/H1R5EP09,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0606,N8R5EP10,HULFT,/CDTHULFT.EP.FTPLIB13/H1R5EP10,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0607,N8R5EP11,HULFT,/CDTHULFT.EP.FTPLIB14/H1R5EP11,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0608,N8R5EP12,HULFT,/CDTHULFT.EP.FTPLIB15/H1R5EP12,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0609,N8R5EP13,HULFT,/CDTHULFT.EP.FTPLIB16/H1R5EP13,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0610,N8R5EP14,HULFT,/CDTHULFT.EP.FTPLIB17/H1R5EP14,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
